 15.36  raw 02b4b000 02c39e00 02d07400 02bf4400 | n=512 bytes=2048 | min=   103646 max=   301830 mean= 202847.0 rms= 207813.3 (2.4773% FS) zeros=  0 flat=  1
 15.59  raw ffe4e000 fff6c400 00185c00 00026600 | n=512 bytes=2048 | min=   -85068 max=   100766 mean=   6718.0 rms=  45444.4 (0.5417% FS) zeros=  0 flat=  1
 15.81  raw 0189ec00 012a4c00 010d7800 01436a00 | n=512 bytes=2048 | min=  -143182 max=   100844 mean= -35517.3 rms=  65703.1 (0.7832% FS) zeros=  0 flat=  1
 16.02  raw fdbf5600 fd6f0c00 fd9c6600 fdf89000 | n=512 bytes=2048 | min=  -327648 max=  -125164 mean=-215109.7 rms= 218668.4 (2.6067% FS) zeros=  0 flat=  1
 16.34  raw 00420000 006bac00 00cdd800 00cde400 | n=512 bytes=2048 | min=   -60278 max=   104422 mean=  31002.7 rms=  46830.2 (0.5583% FS) zeros=  0 flat=  1
 16.56  raw 02154200 02198a00 02177400 022d8c00 | n=512 bytes=2048 | min=   -50162 max=   259920 mean=  96538.7 rms= 122039.5 (1.4548% FS) zeros=  0 flat=  1
 16.78  raw 00028800 00111c00 00135200 00139000 | n=512 bytes=2048 | min=  -115798 max=    48146 mean= -20781.9 rms=  31815.8 (0.3793% FS) zeros=  0 flat=  1
 17.11  raw 006b2200 005a0400 007a8400 00bd8e00 | n=512 bytes=2048 | min=   -67650 max=    84088 mean=  23626.3 rms=  39326.6 (0.4688% FS) zeros=  0 flat=  1
 17.32  raw 021c9800 0217d800 01f1f200 01ce8400 | n=512 bytes=2048 | min=   -12204 max=   143448 mean=  66456.3 rms=  73877.3 (0.8807% FS) zeros=  0 flat=  1
 17.54  raw ffa1ba00 ff910e00 ff594200 ff459400 | n=512 bytes=2048 | min=  -139170 max=    78628 mean= -42356.4 rms=  66331.3 (0.7907% FS) zeros=  0 flat=  1
 17.87  raw fe72ba00 fe74c200 fe607600 fe4ec200 | n=512 bytes=2048 | min=  -182804 max=   -15306 mean=-106613.5 rms= 113013.6 (1.3472% FS) zeros=  0 flat=  1
 18.09  raw 04234600 03a44200 03ad8800 04023800 | n=512 bytes=2048 | min=   123990 max=   299186 mean= 214252.3 rms= 216656.8 (2.5828% FS) zeros=  0 flat=  1
 18.31  raw ff61bc00 ff460000 ff4c7200 ff6ca400 | n=512 bytes=2048 | min=   -77924 max=   139826 mean=  22269.3 rms=  49965.0 (0.5956% FS) zeros=  0 flat=  1
 18.52  raw fd519400 fd358200 fd317800 fd6a0600 | n=512 bytes=2048 | min=  -280968 max=  -127172 mean=-212893.3 rms= 214754.2 (2.5601% FS) zeros=  0 flat=  1
 18.85  raw ff813800 ff73ca00 ff99de00 ffc8b800 | n=512 bytes=2048 | min=   -35894 max=   104828 mean=  32785.1 rms=  45653.9 (0.5442% FS) zeros=  0 flat=  1
 19.07  raw ffc37600 ff9b9e00 ff824200 ff7cee00 | n=512 bytes=2048 | min=   -34604 max=   167942 mean=  74696.3 rms=  86649.5 (1.0329% FS) zeros=  0 flat=  1
 19.29  raw ff555600 ff570a00 ff554a00 ff6fca00 | n=512 bytes=2048 | min=  -107900 max=    16136 mean= -46844.3 rms=  55957.8 (0.6671% FS) zeros=  0 flat=  1
 19.61  raw fe025a00 fe355c00 fe55a000 fe47be00 | n=512 bytes=2048 | min=  -188324 max=   -15764 mean= -98166.4 rms= 106245.0 (1.2665% FS) zeros=  0 flat=  1
 19.83  raw 02e85600 02b7b400 02924e00 0280ce00 | n=512 bytes=2048 | min=    88684 max=   330656 mean= 220385.1 rms= 228673.8 (2.7260% FS) zeros=  0 flat=  1
 20.05  raw 00e7fc00 00ed0200 00e72800 00f42a00 | n=512 bytes=2048 | min=   -72688 max=    78458 mean=  14186.5 rms=  32325.8 (0.3854% FS) zeros=  0 flat=  1
 20.38  raw ff785400 ff5b4e00 ff456600 ff4c6e00 | n=512 bytes=2048 | min=  -150674 max=    60214 mean= -22429.1 rms=  51148.4 (0.6097% FS) zeros=  0 flat=  1
 20.59  raw 007d7e00 00a00800 00c87800 00defa00 | n=512 bytes=2048 | min=   -84474 max=   108508 mean=  11560.2 rms=  43826.5 (0.5225% FS) zeros=  0 flat=  1
 20.81  raw ffca6200 ffe68800 000eda00 002d5e00 | n=512 bytes=2048 | min=  -137488 max=    93908 mean= -13368.9 rms=  52973.9 (0.6315% FS) zeros=  0 flat=  1
 21.14  raw fedc4200 fecdae00 feae1600 fe74e400 | n=512 bytes=2048 | min=  -162160 max=   -38494 mean= -94462.1 rms=  98024.0 (1.1685% FS) zeros=  0 flat=  1
 21.36  raw 0145de00 017b2000 01841200 016dba00 | n=512 bytes=2048 | min=    67628 max=   214472 mean= 128886.5 rms= 132271.7 (1.5768% FS) zeros=  0 flat=  1
 21.57  raw 0125c000 0117e800 0106d200 00f21800 | n=512 bytes=2048 | min=  -126938 max=    78810 mean= -18692.5 rms=  44870.5 (0.5349% FS) zeros=  0 flat=  1
