  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.50 | 1-of-1 vote | 6-window refractory
  1.01  ================================================================
  3.03  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 19.15  kw 0.527  unk 0.237  sil 0.237  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.15  kw 0.038  unk 0.945  sil 0.016  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.15  kw 0.011  unk 0.291  sil 0.698  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.15  kw 0.003  unk 0.374  sil 0.623  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 19.15  kw 0.002  unk 0.212  sil 0.786  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 20.15  kw 0.006  unk 0.356  sil 0.638  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.15  kw 0.007  unk 0.460  sil 0.532  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 20.15  kw 0.025  unk 0.779  sil 0.195  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.15  kw 0.015  unk 0.695  sil 0.290  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 20.15  kw 0.009  unk 0.636  sil 0.355  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.16  kw 0.019  unk 0.455  sil 0.526  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.16  kw 0.016  unk 0.456  sil 0.528  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.16  kw 0.012  unk 0.812  sil 0.176  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.16  kw 0.011  unk 0.960  sil 0.029  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.16  kw 0.019  unk 0.956  sil 0.025  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.16  kw 0.007  unk 0.991  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.16  kw 0.001  unk 0.999  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.16  kw 0.036  unk 0.957  sil 0.006  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.16  kw 0.083  unk 0.913  sil 0.004  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.16  kw 0.371  unk 0.618  sil 0.011  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 23.16  kw 0.791  unk 0.050  sil 0.159  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%   *** SENTINEL ***
 23.16  kw 0.156  unk 0.719  sil 0.125  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.16  kw 0.023  unk 0.559  sil 0.418  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 48.0%
 23.16  kw 0.008  unk 0.442  sil 0.550  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.16  kw 0.013  unk 0.475  sil 0.511  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.17  kw 0.010  unk 0.406  sil 0.584  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.17  kw 0.020  unk 0.220  sil 0.760  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.17  kw 0.022  unk 0.660  sil 0.319  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.17  kw 0.009  unk 0.513  sil 0.477  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.17  kw 0.004  unk 0.588  sil 0.408  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.17  kw 0.009  unk 0.549  sil 0.441  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.17  kw 0.009  unk 0.550  sil 0.442  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.17  kw 0.015  unk 0.564  sil 0.421  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.17  kw 0.023  unk 0.718  sil 0.259  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.17  kw 0.028  unk 0.521  sil 0.451  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.18  kw 0.015  unk 0.961  sil 0.023  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.18  kw 0.072  unk 0.924  sil 0.003  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.18  kw 0.633  unk 0.354  sil 0.013  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 26.18  kw 0.963  unk 0.036  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.18  kw 0.995  unk 0.005  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 27.19  kw 0.633  unk 0.103  sil 0.264  -> keyword | vote 1 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 27.19  kw 0.427  unk 0.531  sil 0.042  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
