  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 21.22  kw 0.987  unk 0.012  sil 0.001  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 21.22  kw 0.999  unk 0.001  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 21.22  kw 0.970  unk 0.010  sil 0.020  -> keyword | vote 2 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 21.22  kw 0.947  unk 0.012  sil 0.041  -> keyword | vote 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.24  kw 0.488  unk 0.327  sil 0.185  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.24  kw 0.154  unk 0.243  sil 0.604  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.24  kw 0.041  unk 0.243  sil 0.716  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.24  kw 0.010  unk 0.152  sil 0.838  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 22.24  kw 0.011  unk 0.272  sil 0.717  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 23.25  kw 0.009  unk 0.092  sil 0.899  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 23.25  kw 0.009  unk 0.125  sil 0.866  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 23.25  kw 0.013  unk 0.083  sil 0.904  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.25  kw 0.107  unk 0.446  sil 0.446  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.25  kw 0.130  unk 0.677  sil 0.193  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.25  kw 0.152  unk 0.751  sil 0.097  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.25  kw 0.989  unk 0.006  sil 0.005  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.25  kw 0.951  unk 0.041  sil 0.008  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 24.25  kw 0.999  unk 0.000  sil 0.000  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.25  kw 0.998  unk 0.001  sil 0.001  -> keyword | vote 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 24.25  kw 0.944  unk 0.023  sil 0.033  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.26  kw 0.569  unk 0.109  sil 0.322  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.26  kw 0.060  unk 0.159  sil 0.781  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.26  kw 0.000  unk 0.028  sil 0.971  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.26  kw 0.000  unk 0.027  sil 0.973  -> silence | vote 0 | feat 1.18 ms  infer 84.16 ms  cpu 48.0%
 25.26  kw 0.000  unk 0.018  sil 0.982  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.28  kw 0.001  unk 0.084  sil 0.915  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.28  kw 0.015  unk 0.151  sil 0.834  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.28  kw 0.062  unk 0.258  sil 0.680  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.28  kw 0.018  unk 0.248  sil 0.733  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.28  kw 0.011  unk 0.125  sil 0.864  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.29  kw 0.005  unk 0.075  sil 0.920  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.29  kw 0.024  unk 0.198  sil 0.778  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.29  kw 0.046  unk 0.423  sil 0.531  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.29  kw 0.282  unk 0.298  sil 0.420  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.29  kw 0.908  unk 0.042  sil 0.050  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.30  kw 0.958  unk 0.013  sil 0.030  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 28.30  kw 0.981  unk 0.002  sil 0.016  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.30  kw 0.890  unk 0.061  sil 0.049  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.30  kw 0.195  unk 0.345  sil 0.459  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.30  kw 0.018  unk 0.421  sil 0.560  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.32  kw 0.002  unk 0.084  sil 0.914  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.32  kw 0.001  unk 0.040  sil 0.960  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.32  kw 0.000  unk 0.020  sil 0.979  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.32  kw 0.002  unk 0.017  sil 0.980  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.32  kw 0.008  unk 0.044  sil 0.948  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 30.33  kw 0.007  unk 0.037  sil 0.956  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 30.33  kw 0.013  unk 0.087  sil 0.900  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.33  kw 0.005  unk 0.083  sil 0.911  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.33  kw 0.031  unk 0.484  sil 0.484  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.33  kw 0.012  unk 0.961  sil 0.027  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.34  kw 0.104  unk 0.856  sil 0.040  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.34  kw 0.957  unk 0.025  sil 0.018  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.34  kw 0.954  unk 0.037  sil 0.008  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 31.34  kw 0.974  unk 0.003  sil 0.023  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.34  kw 0.297  unk 0.178  sil 0.525  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 32.36  kw 0.078  unk 0.205  sil 0.717  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.36  kw 0.032  unk 0.375  sil 0.592  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.36  kw 0.005  unk 0.184  sil 0.810  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.36  kw 0.039  unk 0.453  sil 0.508  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.36  kw 0.005  unk 0.138  sil 0.857  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.37  kw 0.007  unk 0.113  sil 0.880  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.37  kw 0.016  unk 0.239  sil 0.746  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.37  kw 0.013  unk 0.113  sil 0.875  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 33.37  kw 0.011  unk 0.192  sil 0.798  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 33.37  kw 0.001  unk 0.055  sil 0.944  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.38  kw 0.003  unk 0.075  sil 0.922  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 34.38  kw 0.004  unk 0.079  sil 0.917  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 34.38  kw 0.003  unk 0.049  sil 0.948  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.38  kw 0.076  unk 0.135  sil 0.789  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 34.38  kw 0.573  unk 0.273  sil 0.154  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.38  kw 0.970  unk 0.012  sil 0.018  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.38  kw 0.999  unk 0.000  sil 0.001  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
