  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 2 consecutive windows required to fire
  1.00  ================================================================
  3.01  [ MODEL ] 24536 bytes | arena used 15468 of 49152 | heap free 249152
 17.11  kw 0.054  unk 0.945  sil 0.000  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 17.11  kw 0.066  unk 0.932  sil 0.001  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 17.11  kw 0.136  unk 0.863  sil 0.001  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.11  kw 0.265  unk 0.695  sil 0.040  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.11  kw 0.058  unk 0.727  sil 0.215  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.11  kw 0.225  unk 0.615  sil 0.160  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.11  kw 0.068  unk 0.599  sil 0.333  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 18.11  kw 0.057  unk 0.364  sil 0.578  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.12  kw 0.109  unk 0.231  sil 0.660  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.12  kw 0.105  unk 0.858  sil 0.037  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.12  kw 0.162  unk 0.463  sil 0.375  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.12  kw 0.049  unk 0.933  sil 0.018  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 19.12  kw 0.122  unk 0.842  sil 0.036  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.13  kw 0.108  unk 0.882  sil 0.010  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.13  kw 0.071  unk 0.778  sil 0.151  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.13  kw 0.028  unk 0.958  sil 0.014  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 20.13  kw 0.009  unk 0.674  sil 0.317  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 20.13  kw 0.021  unk 0.949  sil 0.030  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.13  kw 0.059  unk 0.596  sil 0.345  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.13  kw 0.114  unk 0.786  sil 0.100  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.13  kw 0.067  unk 0.505  sil 0.427  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 21.13  kw 0.011  unk 0.316  sil 0.673  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 21.13  kw 0.013  unk 0.948  sil 0.039  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 22.14  kw 0.003  unk 0.910  sil 0.087  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 22.14  kw 0.002  unk 0.812  sil 0.187  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 22.14  kw 0.001  unk 0.406  sil 0.593  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 22.14  kw 0.000  unk 0.034  sil 0.966  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 22.14  kw 0.001  unk 0.214  sil 0.785  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 23.15  kw 0.022  unk 0.571  sil 0.408  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 23.15  kw 0.067  unk 0.699  sil 0.235  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 23.15  kw 0.829  unk 0.125  sil 0.046  -> keyword | run 1 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 23.15  kw 0.109  unk 0.140  sil 0.751  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 23.15  kw 0.568  unk 0.089  sil 0.343  -> keyword | run 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 24.15  kw 0.005  unk 0.041  sil 0.954  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 24.15  kw 0.005  unk 0.041  sil 0.954  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 24.15  kw 0.004  unk 0.013  sil 0.983  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 24.15  kw 0.029  unk 0.030  sil 0.941  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 24.15  kw 0.033  unk 0.045  sil 0.922  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.16  kw 0.090  unk 0.042  sil 0.868  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.16  kw 0.045  unk 0.517  sil 0.437  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.16  kw 0.039  unk 0.168  sil 0.794  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.16  kw 0.091  unk 0.681  sil 0.228  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.16  kw 0.064  unk 0.478  sil 0.458  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.16  kw 0.029  unk 0.137  sil 0.834  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.16  kw 0.012  unk 0.042  sil 0.946  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.16  kw 0.027  unk 0.043  sil 0.929  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.16  kw 0.132  unk 0.028  sil 0.840  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.16  kw 0.057  unk 0.208  sil 0.735  -> silence | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.16  kw 0.118  unk 0.104  sil 0.779  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 27.16  kw 0.035  unk 0.146  sil 0.819  -> silence | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.16  kw 0.066  unk 0.370  sil 0.564  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 27.16  kw 0.447  unk 0.259  sil 0.294  -> keyword | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
