  0.55  
  0.55  ================================================================
  0.55   EXP-002  INMP441 RAW I2S CAPTURE
  0.55    pins: SCK=6  WS=5  SD=4   |  16000 Hz, 32-bit slot, LEFT only
  0.55  ================================================================
  0.55  [ I2S INIT ]
  0.55    i2s_driver_install  -> ESP_OK
  0.55    i2s_set_pin         -> ESP_OK
  0.55    I2S initialised OK
  0.55  
  0.55  Legend:  raw = first 4 raw 32-bit words (hex, straight from DMA)
  0.55           min/max/mean/rms are signed 24-bit values (raw >> 8)
  0.55           full scale = +/-8388607
  0.55  
 17.93  raw fef07200 fed7dc00 ff06b200 ff271000 | n=512 bytes=2048 | min=  -364924 max=    -9878 mean=-182553.6 rms= 201389.3 (2.4007% FS) zeros=  0 flat=  1
 18.15  raw fabecc00 fa7af200 f9888e00 f8d27200 | n=512 bytes=2048 | min=  -470414 max=   136334 mean=-121717.7 rms= 181360.8 (2.1620% FS) zeros=  0 flat=  1
 18.47  raw 00fab600 00e6c400 011d2800 01525e00 | n=512 bytes=2048 | min=  -433714 max=   207734 mean= -91940.5 rms= 158010.0 (1.8836% FS) zeros=  0 flat=  1
 18.69  raw 055e9400 05438c00 04e22800 04fd7800 | n=512 bytes=2048 | min=   -27780 max=   556522 mean= 216955.4 rms= 245733.2 (2.9294% FS) zeros=  0 flat=  1
 18.91  raw 02c13200 028f4000 02806600 026ed000 | n=512 bytes=2048 | min=    45762 max=   235810 mean= 134650.0 rms= 140402.4 (1.6737% FS) zeros=  0 flat=  1
 19.24  raw fbf34e00 fc16b600 fcb92800 fda63e00 | n=512 bytes=2048 | min=  -415448 max=   305424 mean=  -7472.4 rms= 132553.9 (1.5802% FS) zeros=  0 flat=  1
 19.46  raw 00b80e00 ffab6800 fef72e00 ff10b600 | n=512 bytes=2048 | min=  -225402 max=   470520 mean=  22063.3 rms= 114855.7 (1.3692% FS) zeros=  0 flat=  1
 19.67  raw 002a9600 002b6000 000b8a00 fffff200 | n=512 bytes=2048 | min=  -228932 max=   186862 mean= -14604.8 rms=  75074.0 (0.8950% FS) zeros=  0 flat=  1
 20.00  raw fdc69000 fe511800 fea6c400 fe6c9000 | n=512 bytes=2048 | min=  -256978 max=   209804 mean= -49971.2 rms= 109119.2 (1.3008% FS) zeros=  0 flat=  1
 20.22  raw 02ccc000 02a97200 02c63e00 0334da00 | n=512 bytes=2048 | min=   -47814 max=   297948 mean= 135033.9 rms= 155238.7 (1.8506% FS) zeros=  0 flat=  1
 20.44  raw ff6bd600 ffef9600 00535200 006d1e00 | n=512 bytes=2048 | min=  -113902 max=   306530 mean=  85401.0 rms= 120763.4 (1.4396% FS) zeros=  0 flat=  1
 20.77  raw 0132ae00 0160d000 01340000 00080400 | n=512 bytes=2048 | min=  -300992 max=    90320 mean=-116840.4 rms= 139706.2 (1.6654% FS) zeros=  0 flat=  1
 20.99  raw fab7b800 fa7dac00 fa8c0400 fa741800 | n=512 bytes=2048 | min=  -537158 max=    10360 mean=-325136.8 rms= 342189.1 (4.0792% FS) zeros=  0 flat=  1
 21.21  raw 04c92800 04dc0400 0462e600 03e17a00 | n=512 bytes=2048 | min=    78928 max=   399650 mean= 240285.6 rms= 253147.3 (3.0178% FS) zeros=  0 flat=  1
 21.43  raw 002d2e00 0015d600 fff5fe00 ffe19200 | n=512 bytes=2048 | min=   -74740 max=   209610 mean=  69352.4 rms=  92269.7 (1.0999% FS) zeros=  0 flat=  1
 21.76  raw 00ac1800 00b5fa00 00b70c00 00a33c00 | n=512 bytes=2048 | min=  -120292 max=   111872 mean=  -1491.5 rms=  53946.4 (0.6431% FS) zeros=  0 flat=  1
 21.97  raw ff504000 ff252e00 ff000400 fedbc800 | n=512 bytes=2048 | min=  -174370 max=   170498 mean=   2082.5 rms=  80382.5 (0.9582% FS) zeros=  0 flat=  1
 22.19  raw 000a5e00 00162c00 001d6e00 000b0a00 | n=512 bytes=2048 | min=  -117454 max=   115036 mean=  16363.8 rms=  44773.0 (0.5337% FS) zeros=  0 flat=  1
 22.52  raw ff7aee00 ff96c800 ff985000 ff42ea00 | n=512 bytes=2048 | min=  -279614 max=   280966 mean= -36605.8 rms= 102693.0 (1.2242% FS) zeros=  0 flat=  1
 22.73  raw fc229c00 fc09e800 fc0b1000 fbf8de00 | n=512 bytes=2048 | min=  -279924 max=    14386 mean=-146916.4 rms= 158456.7 (1.8890% FS) zeros=  0 flat=  1
 22.95  raw 0233ee00 02a4a600 02f8a400 02ce0e00 | n=512 bytes=2048 | min=  -133798 max=   253148 mean=  75098.4 rms= 109136.9 (1.3010% FS) zeros=  0 flat=  1
 23.17  raw 012fd200 01487600 0133fc00 00fef600 | n=512 bytes=2048 | min=   -40978 max=   236502 mean=  86192.7 rms= 100444.3 (1.1974% FS) zeros=  0 flat=  1
 23.50  raw ff807c00 ff5e0000 ff0f6000 fed30c00 | n=512 bytes=2048 | min=  -318808 max=   103866 mean=-113824.4 rms= 138031.4 (1.6455% FS) zeros=  0 flat=  1
 23.71  raw 00ffdc00 00e04c00 00c70c00 00b70c00 | n=512 bytes=2048 | min=   -12772 max=   145648 mean=  63452.2 rms=  71816.7 (0.8561% FS) zeros=  0 flat=  1
 23.93  raw 035d4800 0340fc00 032d4600 03217200 | n=512 bytes=2048 | min=   108946 max=   361860 mean= 243933.7 rms= 250704.0 (2.9886% FS) zeros=  0 flat=  1
 24.26  raw fe156e00 fe615800 fe0ae400 fdabc800 | n=512 bytes=2048 | min=  -294098 max=   -28758 mean=-147971.5 rms= 159810.8 (1.9051% FS) zeros=  0 flat=  1
 24.48  raw fced7e00 fcb14200 fc16b800 fc724c00 | n=512 bytes=2048 | min=  -331374 max=    73900 mean=-153877.0 rms= 182545.5 (2.1761% FS) zeros=  0 flat=  1
 24.70  raw 04d06e00 04d80a00 05040200 052faa00 | n=512 bytes=2048 | min=   200606 max=   392938 mean= 291500.2 rms= 293832.2 (3.5028% FS) zeros=  0 flat=  1
 25.03  raw 02cbcc00 029edc00 021aec00 01d59e00 | n=512 bytes=2048 | min=   -10470 max=   201150 mean=  98143.8 rms= 107064.0 (1.2763% FS) zeros=  0 flat=  1
 25.24  raw ff7b9200 ff3e4c00 ff4b3800 ff8eaa00 | n=512 bytes=2048 | min=  -151394 max=   116186 mean= -13891.8 rms=  57033.4 (0.6799% FS) zeros=  0 flat=  1
 25.46  raw fce6e800 fce63200 fcebf000 fcf71a00 | n=512 bytes=2048 | min=  -206972 max=   -65348 mean=-137002.2 rms= 139846.1 (1.6671% FS) zeros=  0 flat=  1
 25.68  raw fb743600 fb7a8400 fb6f9c00 fb62e000 | n=512 bytes=2048 | min=  -334146 max=  -192232 mean=-260182.7 rms= 261902.7 (3.1221% FS) zeros=  0 flat=  1
 26.01  raw fd77c200 fd70c800 fd540400 fd358400 | n=512 bytes=2048 | min=  -262670 max=   -37472 mean=-117953.2 rms= 125419.9 (1.4951% FS) zeros=  0 flat=  1
 26.23  raw 04e77c00 04fcae00 05098200 051d0a00 | n=512 bytes=2048 | min=   300352 max=   423056 mean= 361519.8 rms= 362390.3 (4.3200% FS) zeros=  0 flat=  1
 26.44  raw 036ac200 03744a00 03da0c00 03e3e000 | n=512 bytes=2048 | min=    82930 max=   261944 mean= 180339.8 rms= 183652.2 (2.1893% FS) zeros=  0 flat=  1
 26.77  raw fe029000 fe0cf800 fe220400 fe28a800 | n=512 bytes=2048 | min=  -217486 max=   -78696 mean=-160522.3 rms= 163205.0 (1.9456% FS) zeros=  0 flat=  1
 26.99  raw fd2b1800 fd13fe00 fd0c8600 fd2ab400 | n=512 bytes=2048 | min=  -237626 max=   -74804 mean=-152033.3 rms= 155375.8 (1.8522% FS) zeros=  0 flat=  1
 27.21  raw 02da2600 02f1c200 03181200 03311800 | n=512 bytes=2048 | min=    84908 max=   267420 mean= 185038.0 rms= 188507.9 (2.2472% FS) zeros=  0 flat=  1
 27.54  raw 0029e200 0017e000 001fa000 00293800 | n=512 bytes=2048 | min=   -94876 max=    41738 mean=  -9872.2 rms=  29290.9 (0.3492% FS) zeros=  0 flat=  1
 27.75  raw ffaf8c00 fffe7200 00144200 ffc25800 | n=512 bytes=2048 | min=   -62166 max=   134280 mean=  42027.8 rms=  58004.3 (0.6915% FS) zeros=  0 flat=  1
 27.97  raw ff6ed000 ff74c400 ff705800 ff62bc00 | n=512 bytes=2048 | min=  -124030 max=   -17396 mean= -75065.2 rms=  78335.1 (0.9338% FS) zeros=  0 flat=  1
 28.30  raw 00af9c00 00643400 00425400 00643600 | n=512 bytes=2048 | min=    -9640 max=   130374 mean=  50739.9 rms=  55780.2 (0.6650% FS) zeros=  0 flat=  1
 28.52  raw 00616400 004ef800 004f4600 0052f600 | n=512 bytes=2048 | min=   -59534 max=    42790 mean=  -8948.1 rms=  24947.9 (0.2974% FS) zeros=  0 flat=  1
 28.73  raw 0029f200 00348e00 0054f800 00495c00 | n=512 bytes=2048 | min=   -87646 max=    33104 mean= -21667.7 rms=  34355.0 (0.4095% FS) zeros=  0 flat=  1
 28.95  raw 005ebc00 005e2600 004f6c00 00496000 | n=512 bytes=2048 | min=   -42524 max=    95710 mean=  30914.8 rms=  44422.9 (0.5296% FS) zeros=  0 flat=  1
 29.28  raw ffdee400 ffd5e000 ffb0d200 ff980400 | n=512 bytes=2048 | min=  -102120 max=    65682 mean= -29542.5 rms=  47243.1 (0.5632% FS) zeros=  0 flat=  1
 29.50  raw ffe38000 ffe7dc00 ffc7f200 ffda9200 | n=512 bytes=2048 | min=   -96626 max=    44574 mean= -25995.4 rms=  40746.7 (0.4857% FS) zeros=  0 flat=  1
 29.72  raw 006b0e00 00619e00 0055b600 00572a00 | n=512 bytes=2048 | min=   -49454 max=    55928 mean=   -911.8 rms=  24529.9 (0.2924% FS) zeros=  0 flat=  1
 30.05  raw ff632e00 ff6cc000 ff905a00 fff0dc00 | n=512 bytes=2048 | min=  -146876 max=    90508 mean= -12034.5 rms=  45476.7 (0.5421% FS) zeros=  0 flat=  1
 30.26  raw ff874200 ffc9c200 ffc78c00 ffa4b800 | n=512 bytes=2048 | min=  -113156 max=   132092 mean=  -6257.9 rms=  54594.5 (0.6508% FS) zeros=  0 flat=  1
 30.48  raw 00a52a00 00b33000 009ae200 0089e000 | n=512 bytes=2048 | min=  -119164 max=    87502 mean= -14694.2 rms=  55320.9 (0.6595% FS) zeros=  0 flat=  1
 30.70  raw fff0fa00 00052400 00247c00 001c8000 | n=512 bytes=2048 | min=   -73066 max=    69718 mean=   6119.4 rms=  33804.7 (0.4030% FS) zeros=  0 flat=  1
 31.03  raw 005f3200 00ae0e00 009e4a00 00472a00 | n=512 bytes=2048 | min=  -108554 max=   107032 mean=  11871.5 rms=  44567.0 (0.5313% FS) zeros=  0 flat=  1
 31.24  raw ffde4a00 ffdf5400 ffc8ec00 ffe08200 | n=512 bytes=2048 | min=   -91520 max=    68322 mean=  -9119.1 rms=  34374.2 (0.4098% FS) zeros=  0 flat=  1
 31.46  raw ffb30200 ffb46c00 ffa85c00 ff9de600 | n=512 bytes=2048 | min=   -87452 max=    82384 mean=   8412.7 rms=  33537.4 (0.3998% FS) zeros=  0 flat=  1
 31.78  raw ff255c00 fee3c000 fe812000 fec65400 | n=512 bytes=2048 | min=  -152332 max=    51548 mean= -51082.0 rms=  62495.2 (0.7450% FS) zeros=  0 flat=  1
 32.00  raw fd9cfc00 fd97d000 fda12000 fd8f2c00 | n=512 bytes=2048 | min=  -261402 max=   -57630 mean=-162092.6 rms= 168499.7 (2.0087% FS) zeros=  0 flat=  2
