  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 1-of-1 vote | 6-window refractory
  1.00  ================================================================
  1.00  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 23.22  kw 0.014  unk 0.962  sil 0.024  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 23.22  kw 0.031  unk 0.883  sil 0.086  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 23.22  kw 0.011  unk 0.922  sil 0.067  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.005  unk 0.991  sil 0.004  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.012  unk 0.962  sil 0.025  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.003  unk 0.996  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 24.24  kw 0.005  unk 0.995  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 24.24  kw 0.005  unk 0.995  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 24.24  kw 0.003  unk 0.996  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.25  kw 0.006  unk 0.994  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.25  kw 0.044  unk 0.876  sil 0.079  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 25.25  kw 0.006  unk 0.994  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 25.25  kw 0.001  unk 0.999  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 25.25  kw 0.004  unk 0.996  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.26  kw 0.002  unk 0.998  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 26.26  kw 0.007  unk 0.965  sil 0.027  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.26  kw 0.079  unk 0.808  sil 0.113  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.26  kw 0.148  unk 0.588  sil 0.264  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
