  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 25.25  kw 0.487  unk 0.053  sil 0.460  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.25  kw 0.609  unk 0.117  sil 0.274  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.25  kw 0.560  unk 0.085  sil 0.355  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.25  kw 0.363  unk 0.230  sil 0.407  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 25.25  kw 0.062  unk 0.137  sil 0.801  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.26  kw 0.016  unk 0.294  sil 0.690  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.26  kw 0.004  unk 0.386  sil 0.609  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.26  kw 0.071  unk 0.438  sil 0.491  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 26.26  kw 0.075  unk 0.234  sil 0.691  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 26.26  kw 0.332  unk 0.418  sil 0.250  -> unknown | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 27.27  kw 0.442  unk 0.417  sil 0.141  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.27  kw 0.257  unk 0.677  sil 0.066  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 27.27  kw 0.018  unk 0.904  sil 0.078  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
